xs1,ys1,xg1,yg1,xs2,ys2,xg2,yg2,distance,replanning count,time
17,2,14,27,5,23,16,9,27.5,23,3.7025868892669678
17,12,3,12,4,8,17,30,27.5,28,8.073996782302856
3,12,17,12,17,30,4,8,27.5,28,8.073996782302856
2,11,10,13,11,1,27,28,29.5,37,4.593194007873535
10,13,2,11,27,28,11,1,29.5,37,4.593194007873535
10,31,18,21,30,15,2,10,27.5,33,3.9672510623931885
18,21,10,31,2,10,30,15,27.5,33,3.9672510623931885
23,5,25,5,29,26,21,5,19.5,22,8.083351135253906
25,5,23,5,21,5,29,26,19.5,22,8.083351135253906
19,30,28,25,22,23,2,9,25.0,33,3.2618720531463623
28,25,19,30,2,9,22,23,25.0,33,3.2618720531463623
0,21,0,2,7,29,14,1,35.0,32,15.568719863891602
0,2,0,21,14,1,7,29,35.0,32,15.568719863891602
25,8,30,14,7,2,5,16,14.5,16,1.4775333404541016
30,14,25,8,5,16,7,2,14.5,16,1.4775333404541016
19,12,4,25,25,11,31,25,24.0,23,2.312530994415283
4,25,19,12,31,25,25,11,24.0,23,2.312530994415283
23,0,3,1,2,25,28,22,32.0,30,5.092040061950684
3,1,23,0,28,22,2,25,32.0,30,5.092040061950684
7,23,14,14,8,18,5,14,11.5,14,1.4948339462280273
14,14,7,23,5,14,8,18,11.5,14,1.4948339462280273
16,25,19,31,22,18,23,22,7.0,6,0.8594999313354492
19,31,16,25,23,22,22,18,7.0,6,0.8594999313354492
30,20,7,7,14,19,17,14,25.0,31,4.4632861614227295
7,7,30,20,17,14,14,19,25.0,31,4.4632861614227295
31,24,6,26,1,14,24,1,34.5,36,4.457330942153931
6,26,31,24,24,1,1,14,34.5,36,4.457330942153931
22,17,24,15,20,18,11,14,9.5,13,1.6753909587860107
